id,durationLabel,durationDays,garlandCount,image,images,regularTotal,packagePrice,savingsText,eligibilityText,deliveryBenefit,availability,featured
pkg-1-5,1.5 Days,1.5,2 garlands,/images/packages/pkg-1-5.jpg,/images/packages/pkg-1-5.jpg|/images/packages/pkg-1-5-1.jpg|/images/packages/pkg-1-5-2.jpg|/images/packages/pkg-1-5-3.jpg,"₹1,998","₹1,799",You save ₹199,Eligible for free delivery within Chembur,Free delivery within Chembur,Made to order,FALSE
pkg-3,3 Days,3,3 garlands,/images/packages/pkg-3.jpg,/images/packages/pkg-3.jpg|/images/packages/pkg-3-1.jpg|/images/packages/pkg-3-2.jpg|/images/packages/pkg-3-3.jpg,"₹2,997","₹2,699",You save ₹298,Eligible for free delivery within Chembur,Free delivery within Chembur,Made to order,FALSE
pkg-5,5 Days,5,5 garlands,/images/packages/pkg-5.jpg,/images/packages/pkg-5.jpg|/images/packages/pkg-5-1.jpg|/images/packages/pkg-5-2.jpg|/images/packages/pkg-5-3.jpg,"₹4,995","₹4,499",You save ₹496,Eligible for free delivery within Chembur,Free delivery within Chembur,Made to order,TRUE
pkg-7,7 Days,7,7 garlands,/images/packages/pkg-7.jpg,/images/packages/pkg-7.jpg|/images/packages/pkg-7-1.jpg|/images/packages/pkg-7-2.jpg|/images/packages/pkg-7-3.jpg,"₹6,993","₹6,199",You save ₹794,Eligible for free delivery within Chembur,Free delivery within Chembur,Made to order,FALSE
pkg-10,10 Days,10,10 garlands,/images/packages/pkg-10.jpg,/images/packages/pkg-10.jpg|/images/packages/pkg-10-1.jpg|/images/packages/pkg-10-2.jpg|/images/packages/pkg-10-3.jpg,"₹9,990","₹8,799","You save ₹1,191",Eligible for free delivery within Chembur,Free delivery within Chembur,Made to order,FALSE
